tck_iem_cd,외화증권한글명,fc_sec_eng_nm,주식/ETF코드,ltg_tot_stk_qty,fc_mkt_dit_cd,co_adr,web_adr,btp_cfc_nm,ceo_nm,eng_utk_otl_cts,ser_cfc_nm,ids_nm,mkt_pr_tot_amt
CONY,YIELDMAX COIN OPTN INC STRG ETF                             ,YIELDMAX COIN OPTN INC STRG ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
COPX,Global X Copper Miners UCITS USD Acc ETF                    ,GLOBAL X COPPER MINERS ETF                                  ,ETF,52069374,-,-,-,-,-,-,-,-,0.0
CWEB,Direxion CSI Internet Idx Bull 2X ETF                       ,DIREXN DLY CSI CHINA INTRNT INDX ETF                        ,ETF,9974087,-,-,-,-,-,-,-,-,0.0
DFEN,Direxion Aerospace & Defense Bull 3X ETF                    ,DIREXN DLY ARSPC DFNS BL 3X SHRS ETF                        ,ETF,5700001,-,-,-,-,-,-,-,-,0.0
DGRO,iShares Core Dividend Growth ETF                            ,ISHARES CORE DIVIDEND GROWTH ETF                            ,ETF,482150000,-,-,-,-,-,-,-,-,0.0
DGRW,WisdomTree US Quality Div Growth ETF                        ,WISDOMTREE US QLT DIV GRW ETF                               ,ETF,174450000,NASD,-,-,-,-,WisdomTree US Quality Dividend Growth Fund,-,-,0.0
DIA,SPDR Dow Industrial Average Trust ETF                       ,SPDR DOW JONES INDUSTRIAL AVRG ETF                          ,ETF,85442867,-,-,-,-,-,-,-,-,0.0
DISO,YIELDMAX DIS OPTION INC STRG ETF                            ,YIELDMAX DIS OPTION INC STRG ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
DIV,Global X SuperDividend US ETF                               ,GLOBAL X SUPERDIVIDEND US ETF                               ,ETF,35100000,-,-,-,-,-,-,-,-,0.0
DIVO,Amplify CWP Enhanced Dividend Income ETF                    ,AMPLIFY CWP ENHANCED DIV INM ETF                            ,ETF,85600000,-,-,-,-,-,-,-,-,0.0
DNL,WisdomTree Global US Qualty Divid Gr ETF                    ,WISDOMTREE GLB EX US QLY DIV GRW ETF                        ,ETF,0,-,-,-,-,-,-,-,-,0.0
DPST,Direxion Regional Banks Bull 3X Shrs ETF                    ,DIREXION DLY RGNL BNK BUL 3X ETF                            ,ETF,8623935,-,-,-,-,-,-,-,-,0.0
DRIV,Global X Autonomous Electric Vehicls ETF                    ,GLOBAL X AUTONOM ELECTRIC VEHICL ETF                        ,ETF,20480002,NASD,-,-,-,-,Global X Autonomous And Electric Vehicles ETF,-,-,0.0
EETH,PROSHARES ETHER STRATEGY ETF                                ,PROSHARES ETHER STRATEGY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
EWY,iShares Msci South Korea ETF                                ,ISHARES MSCI SOUTH KOREA ETF                                ,ETF,77200000,-,-,-,-,-,-,-,-,0.0
FAS,Direxion Financial Bull 3x Shares ETF                       ,DIREXION DAILY FINANCIAL BULL 3X ETF                        ,ETF,19899289,-,-,-,-,-,-,-,-,0.0
FBL,GRANITESH 2XLNG META ETF-USD                                ,GRANITESHARES META DAILY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
FBY,YIELDMAX META OPTN INC STGY ETF                             ,YIELDMAX META OPTN INC STGY ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
FFC,FLAHERTY & CRMRN PRF INCM SEC NAV CF                        ,FLAHERTY & CRMRN PRF INCM SEC NAV CF                        ,ETF,48177896,NYSE,301 E COLORADO BLVD STE 800 C/O FLAHERTY & CRUMRINE INC  PASADENA CA 91101 United States,https://www.preferredincome.com/,Closed End Funds,R. Eric Chadwick,"Flaherty & Crumrine Preferred and Income Securities Fund Incorporated (the Fund) is a diversified, closed-end management investment company. The Fund's investment objective is to provide its common shareholders with high current income consistent with preservation of capital. The Fund invests at least 80% of its managed assets in a portfolio of preferred and other income-producing securities. The Fund invests at least 25% of its total assets in the financials sector, which for this purpose is comprised of the bank, thrifts and mortgage finance, diversified financial services, finance, consumer finance, capital markets, asset management and custody, investment banking and brokerage, insurance, insurance brokerage, and real estate investment trust industries. The Fund is also focused on investments in other sectors, such as energy, industrials, utilities, communications and pipelines. The Fund's investment adviser is Flaherty & Crumrine Incorporated.",-,-,0.0
FXI,iShares China Large-Cap ETF                                 ,ISHARES CHINA LARGE CAP ETF                                 ,ETF,154650000,-,-,-,-,-,-,-,-,0.0
GDX,VanEck Gold Miners AUD ETF                                  ,VANECK GOLD MINERS ETF                                      ,ETF,375602500,-,-,-,-,-,-,-,-,0.0
GGLL,Direxion Daily GOOGL Bull 2X Shares ETF                     ,DIREXION DAILY GOOGL BULL 2X ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
GLDM,SPDR GOLD MINISHARES TRUST ETF                              ,SPDR GOLD MINISHARES ETV                                    ,ETF,173350000,-,-,-,-,-,-,-,-,0.0
GLO,CLOUGH GLOBAL OPPORTUNITIES CF                              ,CLOUGH GLOBAL OPPORTUNITIES CF                              ,ETF,42831622,-,-,-,-,-,-,-,-,0.0
GOOY,YIELDMAX GOOGL OPTN INC STGY ETF                            ,YIELDMAX GOOGL OPTN INC STGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
GPIQ,GOLDMAN SACHS NASDAQ 100 CRE PRM ETF                        ,GOLDMAN SACHS NASDAQ 100 CRE PRM ETF                        ,ETF,0,-,-,-,-,-,-,-,-,0.0
GPIX,GOLDMAN SACHS S P 500 CORE PRUM ETF                         ,GOLDMAN SACHS S P 500 CORE PRUM ETF                         ,ETF,0,-,-,-,-,-,-,-,-,0.0
GRID,First Trs NASDAQ Cln Edge Smart Grid ETF                    ,FIRST TRUST NASDAQ CLEAN EDGE ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
HDRO,DEFIANCE NEXT GEN H2 ETF                                    ,DEFIANCE NEXT GEN H2 ETF                                    ,ETF,0,-,-,-,-,-,-,-,-,0.0
HIGH,Simplify ENHANCED INCOME ETF                                ,SIMPLIFY ENHANCED INCOME ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
IAGG,iShares Core Aggregate Bond ETF                             ,ISHARES INTERNTINL AGGRGT BND ETF                           ,ETF,132250000,-,-,-,-,-,-,-,-,0.0
IBB,iShares Biotechnology ETF                                   ,ISHARES BIOTECHNOLOGY ETF                                   ,ETF,52750000,NASD,-,-,-,-,iShares Biotechnology ETF,-,-,0.0
ICLN,iShares Global Clean Energy ETF                             ,ISHARES GLOBAL CLEAN ENERGY ETF                             ,ETF,151000000,NASD,-,-,-,-,iShares Global Clean Energy ETF,-,-,0.0
IDEV,iShares Core MSCI Developed Mkt ETF                         ,ISHARES CORE MSCI INTRL DVLP MKT ETF                        ,ETF,211050000,-,-,-,-,-,-,-,-,0.0
IEMG,iShares Core MSCI Emerging Markets ETF                      ,ISHARES CORE MSCI EMERGING ETF                              ,ETF,1471200000,-,-,-,-,-,-,-,-,0.0
IHI,iShares US Medical Devices ETF                              ,ISHARES US MEDICAL DEVICES ETF                              ,ETF,87050000,-,-,-,-,-,-,-,-,0.0
IJH,iShares S&P Mid-Cap AUD ETF                                 ,ISHARES CORE S&P MID CAP ETF                                ,ETF,1450550000,-,-,-,-,-,-,-,-,0.0
IJR,iShares S&P Small-Cap AUD ETF                               ,ISHARES CORE S&P SMALL CAP ETF                              ,ETF,745100000,-,-,-,-,-,-,-,-,0.0
ITA,iShares US Aerospace & Defense ETF                          ,ISHARES US AEROSPACE DEFENSE ETF                            ,ETF,45750000,-,-,-,-,-,-,-,-,0.0
IVV,iShares S&P 500 ETF                                         ,ISHARES CORE S&P 500 ETF                                    ,ETF,919100000,-,-,-,-,-,-,-,-,0.0
IWM,iShares Russell 2000 ETF                                    ,ISHARES RUSSELL 2000 ETF                                    ,ETF,320000000,-,-,-,-,-,-,-,-,0.0
JEPI,JPMorgan Equity Premium INCO ETF                            ,JPMORGAN EQUITY PREMIUM INCOME ETF                          ,ETF,596300000,-,-,-,-,-,-,-,-,0.0
JEPQ,JPMorgan Nasdaq Premium Income ETF                          ,J P MORGAN NASDAQ EQT PRM INC ETF                           ,ETF,293000000,NASD,-,-,-,-,JPMorgan Nasdaq Equity Premium Income ETF,-,-,0.0
JETS,US Global Jets UCITS Acc ETF                                ,US GLOBAL JETS ETF                                          ,ETF,96200000,-,-,-,-,-,-,-,-,0.0
JPMO,YIELDMAX JPM OPTION INC STG ETF                             ,YIELDMAX JPM OPTION INC STG ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
KBWY,Invesco KBW Premium Yield REIT ETF                          ,INVSC KBW PRM YLD EQ REIT ETF                               ,ETF,12690000,NASD,-,-,-,-,Invesco KBW Premium Yield Equity REIT ETF,-,-,0.0
KCSH,KRANESHARES SUSTNBL ULT ST DR ETF                           ,KRANESHARES SUSTNBL ULT ST DR ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
KLIP,KranceShrs Chn Intrnt Cvrd Cll Stgy ETF                     ,KRANESHS INT AND CALL STRTGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
KORU,Direxion MSCI South Korea Bull 3X ETF                       ,DIREXION KOREA BULL 3X SHARES ETF                           ,ETF,4500001,-,-,-,-,-,-,-,-,0.0
KRBN,KraneShares Global Carbon Strategy ETF                      ,KRANESHARES GLOBAL CARBON STG ETF                           ,ETF,9050000,-,-,-,-,-,-,-,-,0.0
KRE,SPDR S&P Regional Banking ETF                               ,SPDR S&P REGIONAL BANKING ETF                               ,ETF,55902585,-,-,-,-,-,-,-,-,0.0
KWEB,KraneShares CSI China Internet ETF                          ,KRANESHARES CSI CHINA INTERNET ETF                          ,ETF,167300000,-,-,-,-,-,-,-,-,0.0
LABU,Direxion S&P Biotech Bull 3X Shares ETF                     ,DIREXION DALY S&P BIOTCH BULL 3X ETF                        ,ETF,7074486,-,-,-,-,-,-,-,-,0.0
LIT,Global X Lithium & Battery Tech ETF                         ,GLOBAL X LITHIUM BATTERY TECH ETF                           ,ETF,31044628,-,-,-,-,-,-,-,-,0.0
METV,Roundhill Ball Metaverse ETF                                ,ROUNDHILL BALL METAVERSE ETF                                ,ETF,27775000,-,-,-,-,-,-,-,-,0.0
MGK,Vanguard Mega Cap Growth Index ETF                          ,VANGUARD MEGA CAP GROWTH ETF                                ,ETF,69764192,-,-,-,-,-,-,-,-,0.0
MOAT,VanEck Morningstar Wide Moat ETF                            ,VANECK MORNINGSTAR WIDE MOAT ETF                            ,ETF,165700000,-,-,-,-,-,-,-,-,0.0
MRNY,YIELDMAX MRNA OPTN INCME STGY ETF                           ,YIELDMAX MRNA OPTN INCME STGY ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
MSFO,YIELDMAX MSFT OPTN INC STRG ETF                             ,YIELDMAX MSFT OPTN INC STRG ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
MSFU,Direxion Daily MSFT Bull 2X Shares ETF                      ,DIREXION DAILY MSFT BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
MSOS,AdvisorShares Pure US Cannabis ETF                          ,ADVISORSHARES PURE US CANNABIS ETF                          ,ETF,124345000,-,-,-,-,-,-,-,-,0.0
MSOX,AdvisorShares MSOS 2x Daily ETF                             ,ADVISORSHARES MSOS 2X DAILY ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
MTBA,SIMPLIFY MBS ETF                                            ,SIMPLIFY MBS ETF                                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
NAIL,Direxion Homebuildrs Supplis Bull 3X ETF                    ,DRXN DLY HMBDR SPLS BL 3X ETF                               ,ETF,2350000,-,-,-,-,-,-,-,-,0.0
NFLY,YIELDMAX NFLX OPTN INC STRG ETF                             ,YIELDMAX NFLX OPTN INC STRG ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
NOBL,ProShares S&P 500 Divi Aristocrats ETF                      ,PROSHARES S&P 500 DIV ARISTOCRAT ETF                        ,ETF,118750001,-,-,-,-,-,-,-,-,0.0
NUSI,Nationwide Nasdaq-100 Risk- Income ETF                      ,NATIONWIDE NDQ 100 RSK MGD IN ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
NVD,GRANITESHARES NVDA DAILY ETF                                ,GRANITESHARES NVDA DAILY ETF                                ,ETF,0,-,-,-,-,-,-,-,-,0.0
NVDL,GraniteShares 2x Long NVDA Daily ETF                        ,GRANITESHARES NVDA LNG DAILY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
NVDU,DIREXION DAILY NVDA BULL 2X ETF                             ,DIREXION DAILY NVDA BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
NVDY,YIELDMAX NVDA OPTN INC STRGY ETF                            ,YIELDMAX NVDA OPTN INC STRGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
OARK,YieldMax Innov Optn Income Strategy ETF                     ,YIELDMAX INNO OPTN INCM STRGY ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
PAVE,Global X US Infrastrure Development ETF                     ,GLOBAL X US INFRA DVLPMNT ETF                               ,ETF,202830000,-,-,-,-,-,-,-,-,0.0
PFF,iShares Preferred Income Securities ETF                     ,ISHARES PREFERRED INCOME SEC ETF                            ,ETF,457000000,NASD,-,-,-,-,iShares Preferred and Income Securities ETF,-,-,0.0
PGX,Invesco Preferred ETF                                       ,INVSC PREFERRED ETF                                         ,ETF,369950000,-,-,-,-,-,-,-,-,0.0
PRNT,3D Printing ETF                                             ,3D PRINTING ETF                                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
PYPY,YIELDMAX PYPL OPT INCM STRTGY ETF                           ,YIELDMAX PYPL OPT INCM STRTGY ETF                           ,ETF,0,-,-,-,-,-,-,-,-,0.0
QCLN,First Trust NASDAQ Clean Green En ETF                       ,FIRST TST NASDAQ CLEAN ED ID ETF                            ,ETF,19300002,NASD,-,-,-,-,First Trust NASDAQ Clean Edge Green Energy Idx Fd,-,-,0.0
QLD,ProShares Ultra QQQ ETF                                     ,PROSHARES ULTRA QQQ ETF                                     ,ETF,70250000,-,-,-,-,-,-,-,-,0.0
QQQ,Invesco QQQ Trust Series 1 ETF                              ,INVSC QQQ TRUST SRS 1 ETF                                   ,ETF,607700000,NASD,-,-,-,-,Invesco QQQ Trust Series 1,-,-,0.0
QQQM,Invesco NASDAQ 100 ETF                                      ,INVESCO NASDAQ 100 ETF                                      ,ETF,161180001,NASD,-,-,-,-,Invesco NASDAQ 100 ETF,-,-,0.0
QYLD,Global X NASDAQ 100 Covered Call ETF                        ,GLOBAL X FUND GLB X NSDQ 100 CVD ETF                        ,ETF,452180000,NASD,-,-,-,-,Global X NASDAQ 100 Covered Call ETF,-,-,0.0
RETL,Direxion Daily Retail Bull 3X Shares ETF                    ,DIREXION DAIL RETAIL BULL 3X SHS ETF                        ,ETF,6621105,-,-,-,-,-,-,-,-,0.0
RPAR,RPAR Risk Parity ETF                                        ,RPAR RISK PARITY TIDAL ETF                                  ,ETF,56325000,-,-,-,-,-,-,-,-,0.0
RSSL,GLOBAL X RUSSELL 2000 ETF                                   ,GLOBAL X RUSSELL 2000 ETF                                   ,ETF,0,-,-,-,-,-,-,-,-,0.0
RYLD,Global X Russell 2000 Covered Call ETF                      ,GLOBAL X RUSSELL 2000 CVRED CALL ETF                        ,ETF,87480000,-,-,-,-,-,-,-,-,0.0
SCC,ProShares UltraShort Consumer Serv ETF                      ,PROSHARES ULTRASHRT CONS DIS ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
SCHD,Schwab US Dividend Equity ETF                               ,SCHWAB US DIVIDEND EQUITY ETF                               ,ETF,715450000,-,-,-,-,-,-,-,-,0.0
SDIV,Global X SuperDividend ETF                                  ,GLOBAL X SUPERDIVIDEND ETF                                  ,ETF,35249412,-,-,-,-,-,-,-,-,0.0
SKYY,First Trust Cloud Computing ETF                             ,FIRST TRUST CLOUD COMPUTING ETF                             ,ETF,30250002,NASD,-,-,-,-,First Trust Cloud Computing ETF,-,-,0.0
SMH,VanEck Semiconductor UCITS USD A ETF                        ,VANECK SEMICONDUCTOR ETF                                    ,ETF,92591874,NASD,-,-,-,-,VanEck Semiconductor ETF,-,-,0.0
SOF,AMPLIFY SAMSUNG SOFR ETF                                    ,AMPLIFY SAMSUNG SOFR ETF                                    ,ETF,0,-,-,-,-,-,-,-,-,0.0
SOXL,Direxion Semicondor Bull 3X Shares ETF                      ,DIREXION SEMICONDUCTOR BULL 3X ETF                          ,ETF,317550060,-,-,-,-,-,-,-,-,0.0
SOXQ,Invesco PHLX Semiconductor ETF                              ,INVESCO PHLX SEMICONDUCTOR ETF                              ,ETF,0,-,-,-,-,-,-,-,-,0.0
SOXX,iShares Semiconductor ETF                                   ,ISHARES SEMICONDUCTOR ETF                                   ,ETF,66300000,NASD,-,-,-,-,iShares Semiconductor ETF,-,-,0.0
SPHD,Invesco S&P 500 High Div Low Volty ETF                      ,INVSC S P 500 HIGH DIV LW VLTLTY ETF                        ,ETF,71620000,-,-,-,-,-,-,-,-,0.0
SPLG,SPDR Portfolio S&P 500 ETF                                  ,SPDR PORTFOLIO S&P 500 ETF                                  ,ETF,666300000,-,-,-,-,-,-,-,-,0.0
SPXL,Direxion Daily S&P 500 Bull 3X Shrs ETF                     ,DIREXION DAILY S&P 500 BULL 3X ETF                          ,ETF,27700001,-,-,-,-,-,-,-,-,0.0
SPY,SPDR S&P 500 ETF Trust                                      ,SPDR S&P 500 ETF                                            ,ETF,1011282116,-,-,-,-,-,-,-,-,0.0
SPYD,SPDR Portfolio S&P 500 High Dividend ETF                    ,SPDR S&P 500 HIGH DIVIDEND ETF                              ,ETF,146750000,-,-,-,-,-,-,-,-,0.0
SPYG,SPDR Portfolio S&P 500 Growth ETF                           ,SPDR S&P 500 GROWTH ETF                                     ,ETF,354500108,-,-,-,-,-,-,-,-,0.0
SPYV,SPDR Portfolio S&P 500 Value ETF                            ,SPDR S&P 500 VALUE ETF                                      ,ETF,446852864,-,-,-,-,-,-,-,-,0.0
SQY,YIELDMAX SQ OPTION INC STRGY ETF                            ,YIELDMAX SQ OPTION INC STRGY ETF                            ,ETF,0,-,-,-,-,-,-,-,-,0.0
SSO,ProShares ULTRA S&P500 2X ETF                               ,PROSHARES ULTRA S&P 500 ETF                                 ,ETF,60250000,-,-,-,-,-,-,-,-,0.0
SVOL,Simplify Volatility Premium ETF                             ,SIMPLIFY VOLATILITY PREMIUM ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
TAN,Invesco Solar ETF                                           ,INVSC SOLAR ETF                                             ,ETF,24568000,-,-,-,-,-,-,-,-,0.0
TECL,Direxion Tech Bull 3X Shares ETF                            ,DIREXION DAILY TECHNO BULL 3X ETF                           ,ETF,38400000,-,-,-,-,-,-,-,-,0.0
TLT,iShares 20 Plus Year Treasury Bond ETF                      ,ISHARES 20 PLS YEAR TREASURY BND ETF                        ,ETF,636400000,NASD,-,-,-,-,iShares 20 Plus Year Treasury Bond ETF,-,-,0.0
TLTW,iShares 20+ Yr Treasury Bd BuyWrite ETF                     ,ISHARES 20 PLS YR TRSY BD BYT ST ETF                        ,ETF,0,-,-,-,-,-,-,-,-,0.0
TMF,Direxion 20+ Y Treasury Bull 3X Shrs ETF                    ,DIR DAILY 20+ YEAR TRSRY BULL 3X ETF                        ,ETF,114498386,-,-,-,-,-,-,-,-,0.0
TNA,Direxion Daily Small Cap Bull 3X ETF                        ,DIREXION DAILY SMALL CAP BULL 3X ETF                        ,ETF,60500000,-,-,-,-,-,-,-,-,0.0
TQQQ,ProShares UltraPro QQQ ETF                                  ,PROSHARES ULTRAPRO QQQ ETF                                  ,ETF,334350000,NASD,-,-,-,-,ProShares UltraPro QQQ,-,-,0.0
TSL,GraniteShares 1.25x Long TSLA Daily ETF                     ,GRANITESHARES 1 25X TESLA DAILY ETF                         ,ETF,0,-,-,-,-,-,-,-,-,0.0
TSLL,DIREXION DAILY TSLA BULL 2X                                 ,DIREXION DAILY TSLA BULL 2X ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
TSLY,YieldMax TSLA Option Income Strategy ETF                    ,YIELDMAX TSLA OPT INCM STGY ETF                             ,ETF,0,-,-,-,-,-,-,-,-,0.0
UDOW,ProShares UltraPro Dow30 ETF                                ,PROSHARES ULTRAPRO DOW 30 ETF                               ,ETF,7200000,-,-,-,-,-,-,-,-,0.0
UPRO,ProShares UltraPro S&P500 ETF                               ,PROSHARES ULTRAPRO S&P 500 ETF                              ,ETF,46900000,-,-,-,-,-,-,-,-,0.0
URA,Global X Uranium ETF                                        ,GLOBAL X URANIUM ETF                                        ,ETF,111971666,-,-,-,-,-,-,-,-,0.0
URTY,ProShares UltraPro Russell2000 ETF                          ,PROSHARES ULTRAPRO RUSSELL 2000 ETF                         ,ETF,9550000,-,-,-,-,-,-,-,-,0.0
USD,PROSHARES ULTRA SEMICONDUCTORS 2x ETF                       ,PROSHARES ULTRA SEMICONDUCTORS ETF                          ,ETF,0,-,-,-,-,-,-,-,-,0.0
VEA,Vanguard Developed Index ETF                                ,VANGUARD FTSE DEVELOPED MARKETS ETF                         ,ETF,2700914201,-,-,-,-,-,-,-,-,0.0
VIG,Vanguard Dividend Appreciation Index ETF                    ,VANGUARD DIVIDEND APPRECIATION ETF                          ,ETF,433915203,-,-,-,-,-,-,-,-,0.0
VNQ,Vanguard Real Estate Index ETF                              ,VANGUARD REAL ESTATE ETF                                    ,ETF,386070159,-,-,-,-,-,-,-,-,0.0
VOO,VANGUARD S&P 500 ETF                                        ,VANGUARD S&P 500 ETF                                        ,ETF,979891800,-,-,-,-,-,-,-,-,0.0
VT,Vanguard Total World Stock Index ETF                        ,VANGUARD TOTAL WORLD STOCK ETF                              ,ETF,336228169,-,-,-,-,-,-,-,-,0.0
VTI,VANGUARD TOTAL STOCK MKT ETF                                ,VANGUARD TOTAL STOCK MARKET ETF                             ,ETF,1546846395,-,-,-,-,-,-,-,-,0.0
VWO,Vanguard Emerging Stock Index ETF                           ,VANGUARD FTSE EMERGING MARKETS ETF                          ,ETF,1750632944,-,-,-,-,-,-,-,-,0.0
VYM,Vanguard High Dividend Yield ETF                            ,VANGUARD HIGH DIVIDEND YIELD ETF                            ,ETF,456722323,-,-,-,-,-,-,-,-,0.0
WEBL,Direxion Dow Internet Bull 3X Shrs ETF                      ,DIREXION DAIY DW JNS INT BUL 3X ETF                         ,ETF,8100001,-,-,-,-,-,-,-,-,0.0
XBI,SPDR S&P Biotech ETF                                        ,SPDR S&P BIOTECH ETF                                        ,ETF,78850000,-,-,-,-,-,-,-,-,0.0
XLE,Energy Select Sector SPDR ETF                               ,ENERGY SELECT SECTOR SPDR ETF                               ,ETF,411024200,-,-,-,-,-,-,-,-,0.0
XLF,Financial Select Sector SPDR ETF                            ,SELECT STR FINANCIAL SELECT SPDR ETF                        ,ETF,987545427,-,-,-,-,-,-,-,-,0.0
XLK,Technology Select Sector SPDR ETF                           ,TECHNOLOGY SELECT SECTOR SPDR ETF                           ,ETF,316255897,-,-,-,-,-,-,-,-,0.0
XLP,Consumer Staples Select Sector SPDR ETF                     ,SPDR FUND CONSUMER STAPLES ETF                              ,ETF,207821809,-,-,-,-,-,-,-,-,0.0
